CODES,DESCRIPTION,UNIT_1_TAX,UNIT_2_TAX,UNIT_3_TAX,UNIT,WEIGHT,STD,IM_STD,EX_STD
86073000005,"Hooks and other coupling devices, buffers, and parts thereof",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86079110009,Parts of diesel locomotives,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86079190002,Parts of other locomotives,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86079900003,Parts of other railway cars,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86080011007,"Turntables, assembled railway and parts thereof",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,,KGM,,,
86080019009,Other railway and tramway track fixtures and fittings and parts thereof,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86080021005,Semaphores and parts thereof,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,,KGM,,,
86080029007,"Other signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields, and parts thereof",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86090000009,Containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport,0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,,,
87011000004,Single axle tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87012100001,"Road tractors for semi-trailers, with only compression-ignition internal combustion piston engine(diesel or semi-diesel)",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,,
87012200000,"Road tractors for semi-trailers, with both compression-ignition internal combustion piston engine(diesel or semi-diesel) and electric motor as motors for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,,
87012300009,"Road tractors for semi-trailers, with both spark-ignition internal combustion piston engine and electric motor as motors for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,,
87012400008,"Road tractors for semi-trailers, with only electric motor for propulsion",25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,,
87012900003,Other road tractors for semi-trailers,25 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",42 PERCENT,NIU,KGM,T* ,,
87013010008,"Tractors, winch, track-laying type",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87013090001,Other track-laying tractors,0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87019110004,"Tractors, winch, wheel type",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87019120002,"Tractors, for agricultural use",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,N ,,
87019190007,Other tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87019210003,"Tractors, winch, wheel type",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87019220001,"Tractors, for agricultural use",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,N ,,
87019290006,Other tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87019310002,"Tractors, winch, wheel type",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87019320000,"Tractors, for agricultural use",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,N ,,
87019390005,Other tractors,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",15 PERCENT,NIU,KGM,T* ,,
87019410001,"Tractors, winch, wheel type",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,NIU,KGM,T* ,,
87019420009,"Tractors, for agricultural use",0 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",0 PERCENT,NIU,KGM,N ,,
