CODES,DESCRIPTION,YEAR,UNIT_1_CODES,UNIT_1_DESCRIPTION,UNIT_2_CODES,UNIT_2_DESCRIPTION
10620,Reptiles (including snakes and turtles),2023,9,Kilogram,1,Number of item
10631,Birds of prey,2023,9,Kilogram,1,Number of item
10632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",2023,9,Kilogram,1,Number of item
10633,Ostriches; emus (Dromaius novaehollandiae),2023,9,Kilogram,1,Number of item
10639,Other birds,2023,9,Kilogram,1,Number of item
10641,Bees,2023,9,Kilogram,1,Number of item
10649,Other insects,2023,9,Kilogram,1,Number of item
10690,Other lives animals,2023,9,Kilogram,1,Number of item
20110,Carcasses and halfcarcasses,2023,9,Kilogram,?,?
20120,Other cuts with bone in,2023,9,Kilogram,?,?
20130,Boneless,2023,9,Kilogram,?,?
20210,Carcasses and halfcarcasses,2023,9,Kilogram,?,?
20220,Other cuts with bone in,2023,9,Kilogram,?,?
20230,Boneless,2023,9,Kilogram,?,?
20311,Carcasses and halfcarcasses,2023,9,Kilogram,?,?
20312,"Hams, shoulders and cuts thereof, with bone in",2023,9,Kilogram,?,?
20319,Other fresh or chilled meat of swine,2023,9,Kilogram,?,?
20321,Carcasses and halfcarcasses,2023,9,Kilogram,?,?
20322,"Hams, shoulders and cuts thereof, with bone in",2023,9,Kilogram,?,?
20329,Other frozen meat of swine,2023,9,Kilogram,?,?
20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",2023,9,Kilogram,?,?
20421,"Carcasses and halfcarcasses of sheep,fresh or chilled",2023,9,Kilogram,?,?
20422,"Other sheep cuts with bone in ,fresh or chilled",2023,9,Kilogram,?,?
20423,"Boneless,fresh or chilled",2023,9,Kilogram,?,?
20430,"Carcasses and halfcarcasses of lamb, frozen",2023,9,Kilogram,?,?
20441,"Carcasses and halfcarcasses,frozen",2023,9,Kilogram,?,?
20442,"Other cuts with bone in,frozen",2023,9,Kilogram,?,?
20443,"Boneless meat of sheep,frozen",2023,9,Kilogram,?,?
20450,"Meat of goats,frozen",2023,9,Kilogram,?,?
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2023,9,Kilogram,?,?
20610,"Of bovine animals, fresh or chilled",2023,9,Kilogram,?,?
20621,"Tongues of bovine animals,frozen",2023,9,Kilogram,?,?
20622,"Livers of bovine animals,frozen",2023,9,Kilogram,?,?
20629,"Other edible offal of bovine animals,frozen",2023,9,Kilogram,?,?
20630,"Edible offal Of swine, fresh or chilled",2023,9,Kilogram,?,?
20641,"Livers,frozen",2023,9,Kilogram,?,?
20649,"Other edible offal of swine,frozen",2023,9,Kilogram,?,?
20680,"Other edible offal,fresh or chilled",2023,9,Kilogram,?,?
20690,"Other edible offal,frozen",2023,9,Kilogram,?,?
20711,"Fowls of the species gallus domesticus,not cut in pieces, fresh or chilled",2023,9,Kilogram,?,?
20712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",2023,9,Kilogram,?,?
20713,"Cuts and offal, fresh or chilled",2023,9,Kilogram,?,?
20714,"Cuts and offal, frozen",2023,9,Kilogram,?,?
20724,"Turkeys£¨not cut in pieces, fresh or chilled",2023,9,Kilogram,?,?
20725,"Turkeys£¨not cut in pieces, frozen",2023,9,Kilogram,?,?
20726,"Cuts and offal of turkeys , fresh or chilled",2023,9,Kilogram,?,?
20727,"Cuts and offal of turkeys , frozen",2023,9,Kilogram,?,?
20741,"Ducks£¨not cut in pieces, fresh or chilled",2023,9,Kilogram,?,?
20742,"Ducks,not cut in pieces, frozen",2023,9,Kilogram,?,?
20743,"Fatty livers of ducks, fresh or chilled",2023,9,Kilogram,?,?
20744,"Other cuts and offal of ducks, fresh or chilled",2023,9,Kilogram,?,?
20745,"Other cuts and offal of ducks, frozen",2023,9,Kilogram,?,?
20751,"Geese,not cut in pieces, fresh or chilled",2023,9,Kilogram,?,?
20752,"Geese,not cut in pieces, frozen",2023,9,Kilogram,?,?
20753,"Fatty livers of geese, fresh or chilled",2023,9,Kilogram,?,?
20754,"Other cuts and offal of geese, fresh or chilled",2023,9,Kilogram,?,?
20755,"Other cuts and offal of geese, frozen",2023,9,Kilogram,?,?
20760,"Meat and edible offal of guinea fowls , fresh, chilled or frozen",2023,9,Kilogram,?,?
20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",2023,9,Kilogram,?,?
20830,"Meat and edible meat offal of primates,fresh, chilled or frozen",2023,9,Kilogram,?,?
20840,"Meat and edible meat offal of whales, dolphins and porpoises (mammals of the order 
Cetacea); of manatees and dugongs (mammals of the order 
Sirenia); of seals, sea lions and walruses (mammals of the 
suborder Pinnipedia) ,fresh, chilled or frozen",2023,9,Kilogram,?,?
20850,"Meat and edible meat offal of reptiles (including snakes and turtles) ,fresh, chilled or frozen",2023,9,Kilogram,?,?
20860,"Meat and edible meat offal of camels and other camelids (Camelidae) ,fresh, chilled or frozen",2023,9,Kilogram,?,?
20890,"Other meat and edible meat offal,fresh, chilled or frozen",2023,9,Kilogram,?,?
20910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried 
or smoked",2023,9,Kilogram,?,?
20990,"Poultry fat, not rendered or 
otherwise extracted, fresh, chilled, frozen, salted, in brine, dried 
or smoked",2023,9,Kilogram,?,?
21011,"Hams, shoulders and cuts thereof, with bone in",2023,9,Kilogram,?,?
21012,Bellies (streaky) and cuts thereof,2023,9,Kilogram,?,?
21019,Other,2023,9,Kilogram,?,?
21020,Meat of bovine animals,2023,9,Kilogram,?,?
21091,"Meat and edible meat offal of primates , salted, in brine, dried or smoked;including edible flours and meals of meat or meat offal",2023,9,Kilogram,?,?
21092,"Meat and edible meat offal of whales, dolphins and porpoises (mammals of the order 
Cetacea); of manatees and dugongs (mammals of the order 
Sirenia); of seals, sea lions and walruses (mammals of the 
suborder Pinnipedia),salted, in brine, dried or smoked",2023,9,Kilogram,?,?
21093,"Meat and edible meat offal of reptiles (including snakes and turtles), salted, in brine, dried or smoked",2023,9,Kilogram,?,?
21099,"Other meat and edible meat offal,salted, in brine, dried or smoked",2023,9,Kilogram,?,?
30111,Ornamental fish of freshwater,2023,9,Kilogram,?,?
30119,Other ornamental fish,2023,9,Kilogram,?,?
30191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, 
Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus 
apache and Oncorhynchus chrysogaster)",2023,9,Kilogram,?,?
30192,Eels (Anguilla spp),2023,9,Kilogram,?,?
30193,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, 
Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon 
piceus, Catla catla, Labeo spp, Osteochilus hasselti, 
Leptobarbus hoeveni, Megalobrama spp)",2023,9,Kilogram,?,?
30194,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",2023,9,Kilogram,?,?
30195,Southern bluefin tunas (Thunnus maccoyii),2023,9,Kilogram,?,?
30199,Other,2023,9,Kilogram,?,?
30211,"rout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, fresh or chilled
Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus 
apache and Oncorhynchus chrysogaster)",2023,9,Kilogram,?,?
30213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilled
Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus 
kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",2023,9,Kilogram,?,?
30214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",2023,9,Kilogram,?,?
30219,"Other salmonidae ,fresh or chilled",2023,9,Kilogram,?,?
30221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) ,fresh or chilled",2023,9,Kilogram,?,?
30222,"Plaice (Pleuronectes platessa),fresh or chilled",2023,9,Kilogram,?,?
30223,"Sole (Solea spp) ,fresh or chilled",2023,9,Kilogram,?,?
30224,"Turbots (Psetta maxima),fresh or chilled",2023,9,Kilogram,?,?
